fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.5625,0.6349206349206349,0.40499999999999997,0.0
2,64,16,0.5625,0.8253968253968254,0.40499999999999997,0.0
3,64,16,0.625,0.84375,0.6190476190476191,0.25
4,64,16,0.5,0.796875,0.3333333333333333,0.0
5,64,16,0.8125,0.890625,0.8117647058823529,0.625
