auc,auprc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,tn,fp,fn,tp,meta_learner,n_samples,n_features,cv_folds
0.803885,0.830976,0.725000,0.721805,0.750000,0.717391,0.785714,0.657895,0.500000,25,13,9,33,logistic_regression,80,21,5
0.805764,0.801167,0.737500,0.736216,0.752941,0.744186,0.761905,0.710526,0.500000,27,11,10,32,elastic_net,80,21,5
