fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.6875,0.873015873015873,0.6837044534412955,0.3548387096774194
2,64,16,0.6875,0.7936507936507936,0.6887254901960784,0.375
3,64,16,0.8125,0.96875,0.8117647058823529,0.625
4,64,16,0.75,0.953125,0.7333333333333334,0.5
5,64,16,0.6875,0.765625,0.6862745098039216,0.375
