fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.75,0.8253968253968254,0.75,0.4920634920634921
2,64,16,0.6875,0.9365079365079365,0.6672077922077922,0.33333333333333337
3,64,16,0.9375,1.0,0.9372549019607843,0.875
4,64,16,0.75,0.9375,0.746031746031746,0.5
5,64,16,0.5625,0.84375,0.5465587044534412,0.125
