fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.5625,0.6825396825396826,0.5571862348178137,0.09677419354838712
2,64,16,0.8125,0.9047619047619048,0.8132352941176471,0.625
3,64,16,0.75,0.890625,0.746031746031746,0.5
4,64,16,0.75,0.9375,0.7333333333333334,0.5
5,64,16,0.5,0.78125,0.4666666666666667,0.0
