patient_id,conch_v1,conch_v15,gigapath,hibou_l,hoptimus0,hoptimus1,kaiko-vitb16,kaiko-vitb8,kaiko-vitl14,kaiko-vits16,kaiko-vits8,lunit-vits8,midnight12k,musk,phikon,phikon_v2,uni_v1,uni_v2,virchow,virchow2
TCGA-RZ-AB0B-01,0.051267728209495544,0.05151118338108063,0.05299539119005203,0.050564058125019073,0.05281510949134827,0.052452635020017624,0.048438772559165955,0.049437232315540314,0.050755519419908524,0.0417763777077198,0.04546614736318588,0.04620344191789627,0.053733713924884796,0.05075696483254433,0.04861554875969887,0.05219003185629845,0.05126137286424637,0.05273747816681862,0.05224527791142464,0.04477600380778313
TCGA-V3-A9ZX-01,0.05066750943660736,0.05108485370874405,0.05330989137291908,0.051229871809482574,0.053542591631412506,0.0530976764857769,0.046834979206323624,0.049006830900907516,0.05031956359744072,0.04107262194156647,0.04556780681014061,0.045910175889730453,0.054629262536764145,0.04977498576045036,0.048533957451581955,0.053206175565719604,0.05040903389453888,0.05375029519200325,0.051899343729019165,0.046152595430612564
TCGA-V3-A9ZY-01,0.05109023302793503,0.051336683332920074,0.05232449620962143,0.05029359832406044,0.05322141945362091,0.05177336558699608,0.04850758612155914,0.04919387772679329,0.0503469780087471,0.04145878180861473,0.046551983803510666,0.0471019484102726,0.053067367523908615,0.04983276501297951,0.05018340051174164,0.051833607256412506,0.05150700733065605,0.052093785256147385,0.05142862722277641,0.04685244709253311
TCGA-V4-A9E5-01,0.05131049081683159,0.05052877962589264,0.05156414955854416,0.051282599568367004,0.05115535855293274,0.050669554620981216,0.05061739683151245,0.05018073692917824,0.05022748187184334,0.04483390599489212,0.04653644934296608,0.0483461394906044,0.05052829161286354,0.05191371217370033,0.04954170808196068,0.04974314570426941,0.05194757878780365,0.05028767138719559,0.05094648152589798,0.047838445752859116
TCGA-V4-A9E7-01,0.05133327096700668,0.05060983821749687,0.05180436372756958,0.0502445213496685,0.05208560824394226,0.051309194415807724,0.04914932698011398,0.05085686221718788,0.05086922273039818,0.044251151382923126,0.04529416188597679,0.0466565378010273,0.052978515625,0.050999969244003296,0.04915928468108177,0.05187032371759415,0.050699345767498016,0.05237171798944473,0.05208707973361015,0.04536964371800423
TCGA-V4-A9E8-01,0.0513681061565876,0.051151372492313385,0.051361579447984695,0.04955686628818512,0.05140545964241028,0.05043124780058861,0.050660159438848495,0.05055377632379532,0.0511903315782547,0.04356307536363602,0.04644676297903061,0.04694520682096481,0.05105094611644745,0.05201590806245804,0.05061495304107666,0.050283584743738174,0.05191461369395256,0.05085359513759613,0.05157015100121498,0.04706227034330368
TCGA-V4-A9E9-01,0.052050281316041946,0.05138508230447769,0.0526057668030262,0.050281014293432236,0.05217529088258743,0.05197995901107788,0.04864030331373215,0.0501180998980999,0.04924894869327545,0.043833356350660324,0.045480526983737946,0.045718926936388016,0.05259726569056511,0.05162075534462929,0.04958391934633255,0.05121881142258644,0.05200806260108948,0.05172152444720268,0.05194273218512535,0.04578937590122223
TCGA-V4-A9EA-01,0.051677361130714417,0.05147623270750046,0.052005596458911896,0.050128523260354996,0.05200221389532089,0.051333170384168625,0.04969101771712303,0.05025724694132805,0.0501125305891037,0.0435621440410614,0.04539382830262184,0.047557633370161057,0.05136294662952423,0.05150788649916649,0.05016937851905823,0.05026520416140556,0.05232709273695946,0.05093352496623993,0.051603928208351135,0.04663265869021416
TCGA-V4-A9EC-01,0.05179201439023018,0.05188789591193199,0.0518435575067997,0.050356172025203705,0.051915984600782394,0.050844814628362656,0.04939376562833786,0.05028986185789108,0.050448231399059296,0.04222483932971954,0.04628434404730797,0.04917392134666443,0.05076399818062782,0.052305810153484344,0.05012650042772293,0.04987777769565582,0.05235980078577995,0.05036105588078499,0.05117816478013992,0.046571530401706696
TCGA-V4-A9ED-01,0.05175377056002617,0.051108937710523605,0.05170872434973717,0.05053624138236046,0.05175841227173805,0.05110526829957962,0.05019880086183548,0.049486707895994186,0.05077885463833809,0.04294958710670471,0.04724922031164169,0.04848795011639595,0.05032104626297951,0.051943860948085785,0.050187889486551285,0.049300212413072586,0.05231413617730141,0.050578754395246506,0.050955213606357574,0.04727641120553017
