fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.5625,0.7777777777777778,0.5340909090909091,0.06666666666666665
2,64,16,0.8125,0.9523809523809523,0.8102941176470588,0.6363636363636364
3,64,16,0.9375,1.0,0.9372549019607843,0.875
4,64,16,0.8125,0.90625,0.8117647058823529,0.625
5,64,16,0.5,0.765625,0.3333333333333333,0.0
