fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.75,0.7936507936507936,0.7416666666666666,0.47540983606557374
2,64,16,0.8125,0.8888888888888888,0.8132352941176471,0.625
3,64,16,0.8125,0.9375,0.805668016194332,0.625
4,64,16,0.9375,0.921875,0.9372549019607843,0.875
5,64,16,0.6875,0.8125,0.6862745098039216,0.375
