model_name,count,mean,std,min,median,max
gigapath,80,0.05249082399532199,0.0005898978104188981,0.051172904670238495,0.05248710326850414,0.05366458371281624
hoptimus0,80,0.05228252010419965,0.0006455790958019318,0.05063721910119057,0.05224112793803215,0.05409584194421768
midnight12k,80,0.05220641102641821,0.0013238060007173108,0.05008504167199135,0.05199388228356838,0.05565395951271057
virchow,80,0.05183467832393944,0.0005446569609575879,0.05057065561413765,0.0518299862742424,0.053075917065143585
uni_v2,80,0.05181211386807263,0.0010371301112980721,0.05007316544651985,0.0516648106276989,0.05475584790110588
uni_v1,80,0.0517742563970387,0.0005400251668948494,0.050403546541929245,0.05189046636223793,0.052667394280433655
hoptimus1,80,0.05166252707131207,0.0007030766686045658,0.05006729066371918,0.051619162783026695,0.053168028593063354
conch_v1,80,0.05154691603966057,0.00048533679843140346,0.04990648105740547,0.051604295149445534,0.05244869366288185
conch_v15,80,0.05138971363194287,0.0005429965126817253,0.04885953664779663,0.05143326334655285,0.052213240414857864
phikon_v2,80,0.051223518513143065,0.0012010875917054763,0.049013033509254456,0.05101496912539005,0.05454415827989578
musk,80,0.05117234471254051,0.0008932707944353059,0.04826466739177704,0.05130971223115921,0.052643612027168274
hibou_l,80,0.05054339952766895,0.0007141070375059907,0.04904481768608093,0.05039173737168312,0.0524066798388958
kaiko-vitl14,80,0.050332188187167046,0.0006369754236204228,0.04862261563539505,0.0503248181194067,0.05213825777173042
phikon,80,0.049775858083739875,0.000712736927152527,0.04781043902039528,0.04986274614930153,0.050889451056718826
kaiko-vitb8,80,0.049696115357801315,0.0007040054155682142,0.04769493266940117,0.04971020109951496,0.051783908158540726
kaiko-vitb16,80,0.049303901428356764,0.00117064169258931,0.04657396674156189,0.04938594996929169,0.052162185311317444
lunit-vits8,80,0.047271925024688244,0.001015909896489262,0.04399826005101204,0.04722884111106396,0.0498819500207901
virchow2,80,0.04594552614726126,0.0008564611041982843,0.044409312307834625,0.04586673900485039,0.04878014326095581
kaiko-vits8,80,0.04510013530962169,0.0011848139902531389,0.04108915477991104,0.04520628601312637,0.04768507182598114
kaiko-vits16,80,0.04263513768091798,0.0012654271646607635,0.039601169526576996,0.04247845336794853,0.04708126559853554
