fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.75,0.7777777777777778,0.75,0.4920634920634921
2,64,16,0.75,0.873015873015873,0.75,0.4920634920634921
3,64,16,0.875,0.984375,0.875,0.75
4,64,16,0.6875,0.9375,0.6536796536796536,0.375
5,64,16,0.6875,0.734375,0.6862745098039216,0.375
