fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.75,0.8095238095238095,0.7416666666666666,0.47540983606557374
2,64,16,0.8125,0.9206349206349206,0.8132352941176471,0.625
3,64,16,1.0,1.0,1.0,1.0
4,64,16,0.75,0.921875,0.75,0.5
5,64,16,0.625,0.734375,0.6190476190476191,0.25
