fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.6875,0.8571428571428571,0.6837044534412955,0.3548387096774194
2,64,16,0.75,0.8253968253968254,0.7416666666666666,0.47540983606557374
3,64,16,0.875,1.0,0.873015873015873,0.75
4,64,16,0.6875,0.953125,0.6536796536796536,0.375
5,64,16,0.75,0.859375,0.746031746031746,0.5
