fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.5625,0.7142857142857143,0.5571862348178137,0.09677419354838712
2,64,16,0.5625,0.8253968253968255,0.40499999999999997,0.0
3,64,16,0.625,0.84375,0.6000000000000001,0.25
4,64,16,0.6875,0.953125,0.6536796536796536,0.375
5,64,16,0.75,0.875,0.75,0.5
