fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.625,0.8253968253968254,0.625,0.23809523809523814
2,64,16,0.8125,0.9365079365079365,0.8102226720647774,0.6129032258064516
3,64,16,1.0,1.0,1.0,1.0
4,64,16,0.75,0.953125,0.7333333333333334,0.5
5,64,16,0.5625,0.828125,0.5151515151515151,0.125
