fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.75,0.873015873015873,0.75,0.4920634920634921
2,64,16,0.8125,0.9523809523809524,0.8132352941176471,0.625
3,64,16,0.875,0.953125,0.873015873015873,0.75
4,64,16,0.6875,0.859375,0.6761133603238867,0.375
5,64,16,0.6875,0.84375,0.6862745098039216,0.375
