fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.6875,0.873015873015873,0.6887254901960784,0.375
2,64,16,0.8125,0.9365079365079365,0.8102941176470588,0.6363636363636364
3,64,16,0.6875,0.84375,0.6862745098039216,0.375
4,64,16,0.75,0.890625,0.746031746031746,0.5
5,64,16,0.6875,0.8125,0.6862745098039216,0.375
