fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.6875,0.746031746031746,0.6887254901960784,0.375
2,64,16,0.6875,0.8571428571428571,0.6838235294117647,0.3939393939393939
3,64,16,0.75,0.84375,0.746031746031746,0.5
4,64,16,0.5,0.9375,0.3333333333333333,0.0
5,64,16,0.5625,0.765625,0.5465587044534412,0.125
