patient_id,conch_v1,conch_v15,gigapath,hibou_l,hoptimus0,hoptimus1,kaiko-vitb16,kaiko-vitb8,kaiko-vitl14,kaiko-vits16,kaiko-vits8,lunit-vits8,midnight12k,musk,phikon,phikon_v2,uni_v1,uni_v2,virchow,virchow2
TCGA-RZ-AB0B-01,0.060540203005075455,0.06527766585350037,0.093683622777462,0.0467197485268116,0.09027602523565292,0.0833892822265625,0.003779284656047821,0.024182608351111412,0.05049911513924599,-0.14419017732143402,-0.05955328792333603,-0.043467000126838684,0.10751934349536896,0.05052754282951355,0.007422148250043392,0.07837022840976715,0.06041623279452324,0.08880508691072464,0.07942822575569153,-0.07484884560108185
TCGA-V3-A9ZX-01,0.07064024358987808,0.07884341478347778,0.12147723883390427,0.08167821168899536,0.12583279609680176,0.1174885705113411,-0.008014313876628876,0.03731508553028107,0.06374925374984741,-0.13930289447307587,-0.035443179309368134,-0.027957789599895477,0.14592505991458893,0.05286793038249016,0.02761903963983059,0.1195298582315445,0.06552578508853912,0.1297045350074768,0.09466149657964706,-0.022691449150443077
TCGA-V3-A9ZY-01,0.054872624576091766,0.05968485027551651,0.07874388247728348,0.039157040417194366,0.0957401841878891,0.06815510988235474,0.002999458461999893,0.017048422247171402,0.04021788388490677,-0.15402106940746307,-0.03815112262964249,-0.026406411081552505,0.09284142404794693,0.029951967298984528,0.03696350380778313,0.06931795179843903,0.06299711763858795,0.07432492822408676,0.06147417426109314,-0.03171749413013458
TCGA-V4-A9E5-01,0.02129221148788929,0.005940089002251625,0.02622363530099392,0.020748533308506012,0.01826423406600952,0.008722230792045593,0.007692325860261917,-0.0009718034416437149,-4.068668931722641e-05,-0.11363838613033295,-0.07636718451976776,-0.03821665421128273,0.005930393934249878,0.03297994285821915,-0.013788176700472832,-0.009730324149131775,0.03363208845257759,0.0011569038033485413,0.014172643423080444,-0.048773448914289474
TCGA-V4-A9E7-01,0.05485824868083,0.04066518321633339,0.06399355828762054,0.03342070430517197,0.06940782070159912,0.05438915267586708,0.011382315307855606,0.04553426057100296,0.045777272433042526,-0.09359939396381378,-0.07030269503593445,-0.04066774994134903,0.08640564233064651,0.04834423214197159,0.011584870517253876,0.06526597589254379,0.04243217408657074,0.07488585263490677,0.06943605840206146,-0.06863760948181152
TCGA-V4-A9E8-01,0.027536004781723022,0.02330784685909748,0.027408896014094353,-0.008360734209418297,0.028262890875339508,0.009129528887569904,0.013658318668603897,0.011556122452020645,0.024069152772426605,-0.1372716724872589,-0.07317467033863068,-0.06250038743019104,0.02134253829717636,0.040068089962005615,0.0127655528485775,0.0061971768736839294,0.03811878338456154,0.017469312995672226,0.03146157041192055,-0.0600099191069603
TCGA-V4-A9E9-01,0.06837160885334015,0.05550923943519592,0.07898710668087006,0.03378891944885254,0.07077039778232574,0.06701961159706116,0.0006137862801551819,0.03054351732134819,0.013049378991127014,-0.10344356298446655,-0.06655435264110565,-0.0613262765109539,0.07882550358772278,0.060085196048021317,0.019827939569950104,0.05226823687553406,0.06756013631820679,0.06203535944223404,0.06630319356918335,-0.05978654325008392
TCGA-V4-A9EA-01,0.039261505007743835,0.03536183759570122,0.045592982321977615,0.008831806480884552,0.045527953654527664,0.03257881850004196,6.591156125068665e-05,0.011396409943699837,0.008512791246175766,-0.1315697729587555,-0.09038218855857849,-0.04381604865193367,0.033158641308546066,0.035976625978946686,0.0096464604139328,0.011554718017578125,0.05175592750310898,0.024762995541095734,0.03783949464559555,-0.06345721334218979
TCGA-V4-A9EC-01,0.03065360337495804,0.03250320628285408,0.03164829686284065,0.0025388188660144806,0.033044345676898956,0.012195786461234093,-0.01675819605588913,0.0012211296707391739,0.004365289583802223,-0.17357367277145386,-0.08177865296602249,-0.021219011396169662,0.010604996234178543,0.040525052696466446,-0.0020325593650341034,-0.007006816565990448,0.04155673831701279,0.0026358217000961304,0.01873054727911949,-0.07559292763471603
TCGA-V4-A9ED-01,0.022411543875932693,0.009873662143945694,0.021540794521570206,-0.001394985243678093,0.02250119298696518,0.009801852516829967,-0.00809457153081894,-0.022381652146577835,0.0033942870795726776,-0.16405871510505676,-0.06864956766366959,-0.04277040436863899,-0.005662359297275543,0.02607780136168003,-0.008311958983540535,-0.02615729346871376,0.03318088501691818,-0.0005541294813156128,0.0068613747134804726,-0.06807424128055573
TCGA-V4-A9EE-01,0.04476413503289223,0.04356113821268082,0.054677434265613556,0.0052282968536019325,0.05650126561522484,0.0369148924946785,0.0001825764775276184,0.011494981124997139,0.015647487714886665,-0.1903151422739029,-0.13118122518062592,-0.04355412721633911,0.043428920209407806,0.042941849678754807,0.015789605677127838,0.023979026824235916,0.050366081297397614,0.03690849617123604,0.04176543653011322,-0.08326107263565063
TCGA-V4-A9EF-01,0.08224871754646301,0.07110684365034103,0.1182480901479721,0.05308425426483154,0.0993269607424736,0.09693402051925659,-0.00936857983469963,0.042707186192274094,0.047053687274456024,-0.07863640785217285,-0.040375202894210815,-0.039343979209661484,0.11394381523132324,0.03079298511147499,0.01548691838979721,0.09918570518493652,0.06770525127649307,0.10073547065258026,0.09380444884300232,-0.04846268147230148
TCGA-V4-A9EH-01,0.04507434740662575,0.04395672306418419,0.06129665672779083,0.005534410942345858,0.051513563841581345,0.03499361872673035,-0.001574203372001648,0.008630692958831787,0.0035590287297964096,-0.18110832571983337,-0.0745011493563652,-0.03819151222705841,0.037208087742328644,0.038825035095214844,0.01314755342900753,0.02267833799123764,0.05091940984129906,0.02670908346772194,0.04320220649242401,-0.06987234950065613
TCGA-V4-A9EI-01,0.012571718543767929,0.0006368057802319527,0.004974151961505413,-0.019902341067790985,0.010099675506353378,-0.018276244401931763,-0.00020687654614448547,-0.026022713631391525,-0.008134355768561363,-0.20075638592243195,-0.12170620262622833,-0.043294232338666916,-0.021873455494642258,0.02794906683266163,-0.01182638667523861,-0.030717069283127785,0.022854402661323547,-0.007836217060685158,-0.0072949547320604324,-0.058108601719141006
TCGA-V4-A9EJ-01,0.04121933504939079,0.04524944722652435,0.053810469806194305,0.0008128369227051735,0.046704038977622986,0.040779534727334976,-0.0004036054015159607,0.0008499827235937119,0.010828415863215923,-0.1523558646440506,-0.10337100923061371,-0.037786658853292465,0.03448051959276199,0.04414589703083038,0.008290840312838554,0.01594730094075203,0.043636538088321686,0.03372038155794144,0.0426940955221653,-0.10289399325847626
TCGA-V4-A9EK-01,0.05295244976878166,0.042298756539821625,0.06890083849430084,0.043645307421684265,0.06385193020105362,0.051924001425504684,-0.004352644085884094,0.007978357374668121,0.01548103615641594,-0.1344633549451828,-0.11118806898593903,-0.042205534875392914,0.049571193754673004,0.03859129548072815,0.013371235691010952,0.04086168855428696,0.060399025678634644,0.03603839874267578,0.05329938232898712,-0.05718420445919037
TCGA-V4-A9EL-01,0.06342971324920654,0.04910406842827797,0.07438749819993973,0.029079336673021317,0.06246840953826904,0.050988346338272095,-0.0052628107368946075,0.02752925455570221,0.02683945931494236,-0.1483887881040573,-0.10311539471149445,-0.04914113134145737,0.06905760616064072,0.044522710144519806,0.006639780476689339,0.05387074127793312,0.052085887640714645,0.06338284909725189,0.060135453939437866,-0.059947382658720016
TCGA-V4-A9EM-01,0.03940286487340927,0.026613827794790268,0.050538141280412674,0.041090041399002075,0.04097659885883331,0.026391515508294106,-0.002352498471736908,0.011985700577497482,0.027779005467891693,-0.10432861000299454,-0.05186234787106514,-0.029854049906134605,0.04699419438838959,0.03208960220217705,-0.019769299775362015,0.015834879130125046,0.034484002739191055,0.04629030451178551,0.04224849119782448,-0.059709906578063965
TCGA-V4-A9EO-01,0.05960732698440552,0.04908426105976105,0.0881856381893158,0.06424738466739655,0.07741472125053406,0.07296990603208542,-0.0026042424142360687,0.04800973832607269,0.04376392811536789,-0.12197285145521164,-0.14633138477802277,-0.041967928409576416,0.10600694268941879,0.047666773200035095,0.015699811279773712,0.07722871750593185,0.0637102872133255,0.09091871231794357,0.07449674606323242,-0.08544868230819702
TCGA-V4-A9EQ-01,0.07340915501117706,0.0785018801689148,0.12138547748327255,0.08001766353845596,0.11772143840789795,0.09698686003684998,0.003992579877376556,0.052305109798908234,0.07956597208976746,-0.0844842791557312,-0.029822207987308502,-0.01627405360341072,0.14223870635032654,0.04905298352241516,0.03267728537321091,0.12366384267807007,0.08722018450498581,0.11959231644868851,0.10081595927476883,-0.05278017371892929
TCGA-V4-A9ES-01,0.031129591166973114,0.030560314655303955,0.03011886030435562,0.009636914357542992,0.030423268675804138,0.009419389069080353,0.0385865643620491,-0.013132605701684952,0.002643783576786518,-0.14659421145915985,-0.0977497547864914,-0.04546117037534714,0.0005070455372333527,0.022646019235253334,-0.0012201117351651192,0.023199670016765594,0.039970267564058304,-0.0022860057651996613,0.017218882218003273,-0.0775693953037262
TCGA-V4-A9ET-01,0.0634252056479454,0.053411372005939484,0.08285719156265259,0.03497936204075813,0.06902386248111725,0.06004152446985245,0.021420087665319443,0.028404276818037033,0.0384351871907711,-0.11591678857803345,-0.0728825181722641,-0.039308808743953705,0.07129975408315659,0.047151677310466766,0.006860788911581039,0.07744377851486206,0.07711406797170639,0.058670736849308014,0.05958949029445648,-0.05780791491270065
TCGA-V4-A9EU-01,0.0364384800195694,0.038390062749385834,0.05402305722236633,0.008994396775960922,0.043280258774757385,0.01862063817679882,0.0012494921684265137,0.013981573283672333,0.028043754398822784,-0.1167912557721138,-0.11121347546577454,-0.039260994642972946,0.0322895422577858,0.04259028285741806,0.0058481693267822266,0.05071605369448662,0.05730581656098366,0.02320689894258976,0.0389101542532444,-0.0783781111240387
TCGA-V4-A9EV-01,0.03933381661772728,0.031866881996393204,0.048206109553575516,0.01391592063009739,0.037946343421936035,0.013510545715689659,0.01433579996228218,0.006275322288274765,0.020603083074092865,-0.1616123467683792,-0.09564208984375,-0.04370049387216568,0.02259606122970581,0.047738298773765564,0.015566863119602203,0.017967302352190018,0.04773545265197754,0.011707141995429993,0.03092529997229576,-0.08293937146663666
TCGA-V4-A9EW-01,0.05791646987199783,0.056570835411548615,0.08455932140350342,0.036864712834358215,0.06682740896940231,0.059653621166944504,0.02615521103143692,0.03425120189785957,0.02528274431824684,-0.12527990341186523,-0.08257459104061127,-0.02880086749792099,0.0681285411119461,0.06070476770401001,0.02274177595973015,0.07164813578128815,0.07194826751947403,0.054519183933734894,0.05294978991150856,-0.08390210568904877
TCGA-V4-A9EX-01,0.05402667820453644,0.04514053091406822,0.06876443326473236,0.0357186384499073,0.060806453227996826,0.05313166230916977,0.003899756819009781,0.04190577194094658,0.020778872072696686,-0.12526197731494904,-0.09023647010326385,-0.04785040020942688,0.07327992469072342,0.06341849267482758,0.023678461089730263,0.06842661648988724,0.05177387595176697,0.06314697861671448,0.05906292796134949,-0.09544989466667175
TCGA-V4-A9EY-01,0.04963579773902893,0.04178394377231598,0.05845382809638977,0.019080087542533875,0.05324200913310051,0.034948159009218216,-0.007396642118692398,0.019497090950608253,0.010950552299618721,-0.14553989470005035,-0.09745185077190399,-0.047903236001729965,0.0388486385345459,0.050111427903175354,0.015904398635029793,0.033862799406051636,0.05507655814290047,0.03023659437894821,0.03673277050256729,-0.08482757210731506
TCGA-V4-A9EZ-01,0.07340096682310104,0.06192467361688614,0.09144099056720734,0.0422525629401207,0.08073258399963379,0.07392347604036331,0.006204146891832352,0.035618722438812256,0.02814781293272972,-0.12432099878787994,-0.052651919424533844,-0.0427275151014328,0.09648024290800095,0.06255222111940384,0.022446408867836,0.07877016812562943,0.08069458603858948,0.07803356647491455,0.07405686378479004,-0.06355611234903336
TCGA-V4-A9F0-01,0.024281945079565048,0.024055400863289833,0.03023144230246544,0.0004152953624725342,0.02993868663907051,0.003400219604372978,0.005423903465270996,-0.01490815356373787,0.008076518774032593,-0.1740701049566269,-0.09576433897018433,-0.0624825619161129,0.004317384213209152,0.032396793365478516,-0.0004028007388114929,-0.000543646514415741,0.03917285054922104,0.006454829126596451,0.014183176681399345,-0.07674191892147064
TCGA-V4-A9F1-01,0.017511963844299316,0.010616980493068695,0.016841964796185493,-0.025633711367845535,0.019073428586125374,-0.005000373348593712,0.015394967049360275,0.007068149745464325,0.03553074970841408,-0.1359197497367859,-0.053749848157167435,-0.05286722630262375,0.009532235562801361,0.03190989047288895,0.0021100863814353943,-0.0021409131586551666,0.02491741254925728,0.009865712374448776,0.01677553728222847,-0.08631139248609543
TCGA-V4-A9F2-01,0.03509337455034256,0.037827253341674805,0.03163168579339981,-0.0010164473205804825,0.033089980483055115,0.02019825577735901,-0.001127868890762329,-0.011794928461313248,0.009010173380374908,-0.17668309807777405,-0.09864924848079681,-0.03979062661528587,0.015925757586956024,0.04661007225513458,0.006695468910038471,0.00011662393808364868,0.048357684165239334,0.006117053329944611,0.021549295634031296,-0.08445357531309128
TCGA-V4-A9F3-01,0.06878574937582016,0.07211452722549438,0.10768266022205353,0.0585053414106369,0.09924900531768799,0.09332114458084106,0.0020013824105262756,0.04377071559429169,0.01213105209171772,-0.1452062726020813,-0.09712584316730499,-0.03579748794436455,0.12106484919786453,0.05341348052024841,0.02562546171247959,0.09567002952098846,0.05048663541674614,0.11036526411771774,0.08935985714197159,-0.07520046830177307
TCGA-V4-A9F4-01,0.04979271814227104,0.0487060584127903,0.06964042037725449,0.04539240896701813,0.05815295875072479,0.03884473070502281,-0.0036334767937660217,0.03171701356768608,0.012681523337960243,-0.15509648621082306,-0.06536164879798889,-0.04446312040090561,0.05789416655898094,0.05355369299650192,0.013237315230071545,0.0411696583032608,0.05813978984951973,0.04709094017744064,0.04099833220243454,-0.06500451266765594
TCGA-V4-A9F5-01,0.06896333396434784,0.052677884697914124,0.08928993344306946,0.04658164083957672,0.07121137529611588,0.06375925242900848,0.006113816052675247,0.045159466564655304,0.022719254717230797,-0.14769567549228668,-0.12427139282226562,-0.04442113637924194,0.0963059514760971,0.06684249639511108,0.013531429693102837,0.07659541070461273,0.0671318992972374,0.0788794755935669,0.07068125903606415,-0.05688135325908661
TCGA-V4-A9F7-01,0.044416848570108414,0.043891146779060364,0.06250844895839691,0.022010305896401405,0.06242132931947708,0.04336925595998764,0.0010304749011993408,0.017908722162246704,0.022240571677684784,-0.10080288350582123,-0.06454286724328995,-0.04939797893166542,0.04271562397480011,0.04658029228448868,0.02183002419769764,0.028409522026777267,0.05571605637669563,0.03972388058900833,0.044482432305812836,-0.08410126715898514
TCGA-V4-A9F8-01,0.05384110286831856,0.05097455531358719,0.07933145761489868,0.036729536950588226,0.06741824746131897,0.060891248285770416,0.002743411809206009,0.024235865101218224,0.020088978111743927,-0.0819065272808075,-0.0830889493227005,-0.025451689958572388,0.06500496715307236,0.03505407273769379,0.014332149177789688,0.04345438629388809,0.06879401206970215,0.05065746605396271,0.05642788112163544,-0.07650641351938248
TCGA-VD-A8K7-01,0.05459943413734436,0.04533372074365616,0.08381769061088562,0.05050056800246239,0.06236407160758972,0.059958651661872864,0.01330786943435669,0.016741208732128143,0.00906740128993988,-0.13026933372020721,-0.060668427497148514,-0.037176068872213364,0.07294970005750656,0.044883158057928085,0.02035689167678356,0.042745254933834076,0.050316937267780304,0.07152840495109558,0.05991785228252411,-0.07492835074663162
TCGA-VD-A8K8-01,0.0632781833410263,0.06847797334194183,0.08495210856199265,0.04277873411774635,0.0920277088880539,0.08389127254486084,0.013333719223737717,0.0073334816843271255,0.03131335228681564,-0.10966891050338745,-0.08212843537330627,-0.023363297805190086,0.10558227449655533,0.04647132754325867,0.018557338044047356,0.0772334635257721,0.05886339396238327,0.09045606851577759,0.08153794705867767,-0.05207047984004021
TCGA-VD-A8K9-01,0.030020609498023987,0.03794218972325325,0.036093175411224365,-0.014890613965690136,0.029633983969688416,0.022854328155517578,0.024190515279769897,-0.003810495138168335,0.008828656747937202,-0.1469617486000061,-0.07650354504585266,-0.032424427568912506,0.010714922100305557,0.02482684701681137,0.007831593975424767,-0.010681670159101486,0.03849402442574501,0.02074080891907215,0.03075193613767624,-0.06864657998085022
TCGA-VD-A8KA-01,-0.0077023692429065704,-0.025151649489998817,0.007587461732327938,0.017248740419745445,-0.015875186771154404,-0.02110847644507885,-0.016189686954021454,-0.05102860927581787,-0.018257824704051018,-0.11485833674669266,-0.08039835840463638,-0.05514635518193245,-0.023223549127578735,-0.014043182134628296,-0.03051201067864895,-0.046421825885772705,0.0042793722823262215,-0.01852569542825222,-0.017190583050251007,-0.053238727152347565
TCGA-VD-A8KB-01,-0.004124149680137634,-0.028813738375902176,0.006531885825097561,0.022813843563199043,-0.010427696630358696,-0.014507414773106575,-0.01968977227807045,-0.0405820831656456,0.0014431960880756378,-0.13142000138759613,-0.08554132282733917,-0.031028224155306816,-0.02085307240486145,-0.011466346681118011,-0.03795740008354187,-0.0441339835524559,0.015280142426490784,-0.005503479391336441,0.005235231481492519,-0.061514198780059814
TCGA-VD-A8KD-01,0.06804041564464569,0.05559675022959709,0.07938510179519653,0.03839445859193802,0.06975334137678146,0.06843717396259308,0.01700892299413681,0.007979946210980415,0.0266887079924345,-0.10010674595832825,-0.08660103380680084,-0.04854139685630798,0.09546675533056259,0.047316282987594604,0.014314025640487671,0.06483406573534012,0.06346728652715683,0.08561795204877853,0.07369416952133179,-0.04769064486026764
