model_name,count,mean,std,min,median,max
gigapath,80,0.06533496290212497,0.030483637975966444,0.004974151961505413,0.06371069326996803,0.13641516864299774
hoptimus0,80,0.061345958383753896,0.03101548377892971,-0.015875186771154404,0.06137506291270256,0.14505495131015778
midnight12k,80,0.05965008600614965,0.04563625714959702,-0.023223549127578735,0.05345235764980316,0.1751573234796524
virchow,80,0.05276398186106235,0.029297733458294124,-0.017190583050251007,0.052961187437176704,0.12454389035701752
uni_v2,80,0.05218725469894707,0.039650833105790206,-0.01852569542825222,0.04752178490161896,0.15888828039169312
uni_v1,80,0.0515980836818926,0.017752066952197984,0.0042793722823262215,0.05046045407652855,0.10066930204629898
hoptimus1,80,0.04940017171902582,0.03271112293150265,-0.02110847644507885,0.050517087802290916,0.12393061816692352
conch_v1,80,0.04720726190134883,0.018145094579312696,-0.0077023692429065704,0.047444822266697884,0.08224871754646301
conch_v15,80,0.04414126053452492,0.022060699841526133,-0.028813738375902176,0.044246092438697815,0.09070869535207748
phikon_v2,80,0.04068839810788631,0.0432530129116194,-0.046421825885772705,0.03377583809196949,0.15061557292938232
musk,80,0.039805542887188496,0.013863421792995805,-0.014043182134628296,0.0422035064548254,0.06684249639511108
hibou_l,80,0.02749332431703806,0.02835015498345004,-0.025633711367845535,0.022412074729800224,0.1052548736333847
kaiko-vitl14,80,0.023324778783717193,0.019639672727876843,-0.018257824704051018,0.020346030592918396,0.08822806924581528
phikon,80,0.012187137803994118,0.014017509001747577,-0.03795740008354187,0.01432308740913868,0.0500546358525753
kaiko-vitb8,80,0.010586348595097661,0.022701654004968486,-0.05102860927581787,0.010027097538113594,0.05916120857000351
kaiko-vitb16,80,0.002482578135095537,0.010326028766493722,-0.01968977227807045,0.002320457249879837,0.0385865643620491
lunit-vits8,80,-0.03955312406178564,0.012986289588533529,-0.06516556441783905,-0.04036496393382549,0.018034175038337708
virchow2,80,-0.06795444053132087,0.016257312628960147,-0.10289399325847626,-0.07229558378458023,-0.022514771670103073
kaiko-vits8,80,-0.08670069104991854,0.025779558667557437,-0.16197925806045532,-0.08573909103870392,-0.029822207987308502
kaiko-vits16,80,-0.14299333882518112,0.033861570207162725,-0.2196134477853775,-0.14537308365106583,-0.039749909192323685
