fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.625,0.8253968253968254,0.625,0.23809523809523814
2,64,16,0.9375,0.9682539682539683,0.9377450980392157,0.875
3,64,16,1.0,1.0,1.0,1.0
4,64,16,0.8125,0.953125,0.8117647058823529,0.625
5,64,16,0.6875,0.859375,0.6862745098039216,0.375
