fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.625,0.7936507936507936,0.53125,0.1578947368421053
2,64,16,0.75,0.888888888888889,0.75,0.4920634920634921
3,64,16,0.9375,1.0,0.9372549019607843,0.875
4,64,16,0.5,0.9375,0.3333333333333333,0.0
5,64,16,0.5625,0.796875,0.5607843137254902,0.125
