k,auc,auprc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,tn,fp,fn,tp,repeat,selected_models
3,0.917293,0.937299,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,7,hoptimus1;virchow;hibou_l
3,0.917293,0.940405,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,8,hoptimus1;virchow;hibou_l
3,0.921679,0.942254,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,9,hoptimus1;virchow;hibou_l
3,0.907268,0.933326,0.812500,0.813910,0.814815,0.846154,0.785714,0.842105,0.500000,32,6,9,33,10,hoptimus1;virchow;hibou_l
3,0.912281,0.936102,0.775000,0.774436,0.785714,0.785714,0.785714,0.763158,0.500000,29,9,9,33,11,hoptimus1;virchow;hibou_l
3,0.917920,0.939869,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,12,hoptimus1;virchow;hibou_l
3,0.922932,0.941931,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,13,hoptimus1;virchow;hibou_l
3,0.917920,0.938260,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,14,hoptimus1;virchow;hibou_l
3,0.924812,0.944918,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,15,hoptimus1;virchow;hibou_l
3,0.912907,0.934774,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,16,hoptimus1;virchow;hibou_l
3,0.901629,0.927004,0.800000,0.802005,0.800000,0.842105,0.761905,0.842105,0.500000,32,6,10,32,17,hoptimus1;virchow;hibou_l
3,0.923559,0.944372,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l
3,0.917920,0.940566,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,19,hoptimus1;virchow;hibou_l
3,0.922306,0.942687,0.850000,0.850877,0.853659,0.875000,0.833333,0.868421,0.500000,33,5,7,35,20,hoptimus1;virchow;hibou_l
4,0.912907,0.937602,0.850000,0.852130,0.850000,0.894737,0.809524,0.894737,0.500000,34,4,8,34,1,hoptimus1;virchow;hibou_l;hoptimus0
4,0.907268,0.934385,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,2,hoptimus1;virchow;hibou_l;hoptimus0
4,0.913534,0.937921,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,3,hoptimus1;virchow;hibou_l;hoptimus0
4,0.914787,0.938130,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0
4,0.909148,0.935073,0.812500,0.813910,0.814815,0.846154,0.785714,0.842105,0.500000,32,6,9,33,5,hoptimus1;virchow;hibou_l;hoptimus0
4,0.907268,0.934835,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,6,hoptimus1;virchow;hibou_l;hoptimus0
4,0.911028,0.933875,0.812500,0.813910,0.814815,0.846154,0.785714,0.842105,0.500000,32,6,9,33,7,hoptimus1;virchow;hibou_l;hoptimus0
4,0.909148,0.936838,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,8,hoptimus1;virchow;hibou_l;hoptimus0
4,0.909148,0.937612,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0
4,0.897870,0.928441,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,10,hoptimus1;virchow;hibou_l;hoptimus0
4,0.909774,0.934498,0.775000,0.774436,0.785714,0.785714,0.785714,0.763158,0.500000,29,9,9,33,11,hoptimus1;virchow;hibou_l;hoptimus0
4,0.901003,0.933374,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,12,hoptimus1;virchow;hibou_l;hoptimus0
4,0.910401,0.935890,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,13,hoptimus1;virchow;hibou_l;hoptimus0
4,0.900376,0.930091,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14,hoptimus1;virchow;hibou_l;hoptimus0
4,0.921053,0.943153,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,15,hoptimus1;virchow;hibou_l;hoptimus0
4,0.914787,0.936193,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,16,hoptimus1;virchow;hibou_l;hoptimus0
4,0.888471,0.919633,0.800000,0.802005,0.800000,0.842105,0.761905,0.842105,0.500000,32,6,10,32,17,hoptimus1;virchow;hibou_l;hoptimus0
4,0.914160,0.939981,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l;hoptimus0
4,0.904135,0.934640,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,19,hoptimus1;virchow;hibou_l;hoptimus0
4,0.920426,0.942180,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,20,hoptimus1;virchow;hibou_l;hoptimus0
5,0.922306,0.943734,0.850000,0.852130,0.850000,0.894737,0.809524,0.894737,0.500000,34,4,8,34,1,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.902256,0.930760,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,2,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.904135,0.932943,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.907895,0.934578,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.905388,0.932367,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,5,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.906015,0.934033,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,6,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.911654,0.934324,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,7,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.903509,0.932785,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.902256,0.932708,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
5,0.894737,0.925919,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8
