fold,n_train,n_val,acc,auc_macro,f1_weighted,kappa
1,64,16,0.75,0.8571428571428571,0.75,0.4920634920634921
2,64,16,0.6875,0.8730158730158729,0.6838235294117647,0.3939393939393939
3,64,16,0.8125,0.953125,0.8117647058823529,0.625
4,64,16,0.8125,0.953125,0.8117647058823529,0.625
5,64,16,0.6875,0.828125,0.6862745098039216,0.375
